Egg (Each condition must be fulfilled to unlock egg: if price > 0 then fulfilling each condition will make it available in the shop and buying it will unlock the egg permanently: if price = 0 and each condition is fulfilled then this will unlock the egg permanently: temporary conditions unlock the egg for as long as the condition(s) is/are fulfilled),Unlocked,Price,MapComplete,StageReached,HasXAntibody(Temp),TournamentBeat,ZoneEnemyBeat (Map:Zone:EnemyLocation),CurrentGenerationReached,PreviousGenerationField(Temp),PreviousGenerationAttribute(Temp),PreviousGenerationElement(Temp),DigimonInHistory(List with : ),FoodUsed,ItemUsed,HabitatOwned,Password,Obedience,PreviousGenerationObedience(Temp),Mood,PreviousGenerationMood(Temp),LockedDescription,CanUnlockPermanently,LifetimeWins,AlbumCount,MegaKills,Connections,Storefront
Chibomon,FALSE,0,1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Saved the Digital World,TRUE,-1,-1,-1,-1,
Datirimon,FALSE,1100,-1,Champion,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Reach the Champion stage,TRUE,-1,-1,-1,-1,home
Fufumon,FALSE,0,-1,None,TRUE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Carries the X-Antibody,FALSE,-1,-1,-1,-1,
ChibiKiwimon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,944,-1,-1,-1,-1,-1,-1,-1,-1,Descendant of a kiwi,TRUE,-1,-1,-1,-1,
Ketomon,FALSE,1100,-1,Champion,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Reach the Champion stage,TRUE,-1,-1,-1,-1,home
Leafmon,FALSE,0,1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Saved the Digital World,TRUE,-1,-1,-1,-1,
Pafumon,FALSE,1300,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Raise 3 different Digimon,TRUE,-1,3,-1,-1,home
Paomon,FALSE,0,-1,None,FALSE,37,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Win a series of tournaments in Spring,TRUE,-1,-1,-1,-1,
Petitmon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Raise 5 different Digimon,TRUE,-1,5,-1,-1,
Popomon,FALSE,1300,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Raise 3 different Digimon,TRUE,-1,3,-1,-1,home
Pupumon,FALSE,0,-1,None,TRUE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Carries the X-Antibody,FALSE,-1,-1,-1,-1,
Bommon,FALSE,1300,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Raise 3 different Digimon,TRUE,-1,3,-1,-1,home
Pusumon,FALSE,0,-1,None,FALSE,176,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Win a Rookie tournament in autumn,TRUE,-1,-1,-1,-1,
Puwamon,FALSE,1500,0,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 1,TRUE,-1,-1,-1,-1,home
Relemon,FALSE,1500,0,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 1,TRUE,-1,-1,-1,-1,home
Sakumon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Prove yourself: 50 lifetime wins,TRUE,50,-1,-1,-1,
Zerimon,FALSE,1500,0,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 1,TRUE,-1,-1,-1,-1,home
Cocomon,FALSE,1500,0,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 1,TRUE,-1,-1,-1,-1,home
Cotsucomon,FALSE,0,-1,Ultimate,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Reach the Ultimate stage,TRUE,-1,-1,-1,-1,
Algomon I,FALSE,1700,1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 2,TRUE,-1,-1,-1,-1,home
Bombmon,FALSE,1700,1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 2,TRUE,-1,-1,-1,-1,home
Carimon,FALSE,0,4,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Master of the Digital World,TRUE,-1,-1,-1,-1,
Sunamon,FALSE,1700,1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 2,TRUE,-1,-1,-1,-1,home
Curimon,FALSE,1900,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Raise 8 different Digimon,TRUE,-1,8,-1,-1,home
Pyonmon,FALSE,1900,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Raise 8 different Digimon,TRUE,-1,8,-1,-1,home
Puyomon,FALSE,1900,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Raise 8 different Digimon,TRUE,-1,8,-1,-1,home
Fusamon,FALSE,1900,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Raise 8 different Digimon,TRUE,-1,8,-1,-1,home
Breakdra Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Fell 3 Mega-class foes,TRUE,,,3,-1,
Corona Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Link with 3 tamers online,TRUE,-1,-1,-1,3,
DORU Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Link with 5 tamers online,TRUE,-1,-1,-1,5,
Deep Savers Egg,FALSE,2500,1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 2 · ocean towns,TRUE,-1,-1,-1,-1,town
Digitama X3,FALSE,0,-1,None,TRUE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,X-Antibody + 60 wins,TRUE,60,-1,-1,-1,
Draco Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Raise 6 different Digimon,TRUE,,6,,-1,
Hack Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Win 40 battles,TRUE,40,-1,-1,-1,
Kera Digitama,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Fell 10 Mega-class foes,TRUE,-1,-1,10,-1,
Lalamon Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,120,-1,-1,A devoted lineage: obedience 120+,FALSE,-1,-1,-1,-1,
Lop Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Befriend 2 tamers online,TRUE,-1,-1,-1,2,
Luna Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Link with 3 tamers online,TRUE,-1,-1,-1,3,
Meicoo Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Link with 5 tamers online,TRUE,-1,-1,-1,5,
Meicoomon Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,200,A beloved lineage: mood 200+,FALSE,-1,-1,-1,-1,
Metal Empire Egg,FALSE,2500,2,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 3 · machine towns,TRUE,-1,-1,-1,-1,town
Nightmare Soldiers Egg,FALSE,2500,1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 2 · dark towns,TRUE,-1,-1,-1,-1,town
Ryuda Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,DragonsRoar,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Direct descendant of a dragon,FALSE,-1,-1,-1,-1,
Slayerdra Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,A slayer's line: 30 lifetime wins,TRUE,30,,,-1,
Terrier Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Befriend 2 tamers online,TRUE,-1,-1,-1,2,
V Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,V is for victory: win 25 battles,TRUE,25,-1,-1,-1,
Virus Busters Egg,FALSE,2500,3,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 4 · holy towns,TRUE,-1,-1,-1,-1,town
Virus Busters Ver. 20th Egg,FALSE,2500,-1,None,FALSE,-1,-1,5,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,A 5th-generation lineage may buy this,TRUE,-1,-1,-1,-1,town
Wind Guardians Egg,FALSE,2500,2,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 3 · sky towns,TRUE,-1,-1,-1,-1,town
Zuba Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Win 75 battles,TRUE,75,-1,-1,-1,
Nature Spirits Egg,FALSE,2500,0,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 1 · nature towns,TRUE,-1,-1,-1,-1,town
